"issueKey","status","hoursSpent"
"CS-402","In Progress","0.01"
"CS-402","Testing/Review","507.61"
"CS-401","In Progress","1.08"
"CS-401","Testing/Review","317.98"
"CS-400","In Progress","1.97"
"CS-400","Testing/Review","17.19"
"CS-399","In Progress","0.15"
"CS-399","Testing/Review","527.61"
"CS-398","In Progress","0.46"
"CS-398","Testing/Review","526.84"
"CS-397","In Progress","0.00"
"CS-396","In Progress","0.14"
"CS-396","Testing/Review","551.05"
"CS-395","In Progress","0.86"
"CS-395","Testing/Review","554.60"
"CS-394","In Progress","579.69"
"CS-393","In Progress","43.70"
"CS-393","Testing/Review","341.12"
"CS-392","In Progress","43.29"
"CS-392","Testing/Review","341.69"
"CS-391","In Progress","29.50"
"CS-391","Testing/Review","551.17"
"CS-390","In Progress","13.32"
"CS-390","Testing/Review","465.21"
"CS-389","In Progress","65.19"
"CS-389","Testing/Review","393.73"
"CS-388","In Progress","37.83"
"CS-388","Testing/Review","605.82"
"CS-387","In Progress","93.90"
"CS-387","Testing/Review","534.12"
"CS-385","In Progress","0.13"
"CS-385","Testing/Review","235.46"
"CS-384","In Progress","306.24"
"CS-384","Testing/Review","22.91"
"CS-383","In Progress","313.38"
"CS-383","Testing/Review","122.65"
"CS-382","In Progress","2.76"
"CS-382","Testing/Review","861.27"
"CS-381","In Progress","0.37"
"CS-381","Testing/Review","867.12"
"CS-380","In Progress","286.70"
"CS-380","Testing/Review","48.36"
"CS-379","In Progress","20.64"
"CS-379","Testing/Review","235.44"
"CS-378","In Progress","19.88"
"CS-378","Testing/Review","46.48"
"CS-377","In Progress","13.13"
"CS-377","Testing/Review","822.06"
"CS-376","In Progress","31.11"
"CS-376","Testing/Review","255.56"
"CS-375","In Progress","1161.85"
"CS-375","Testing/Review","256.94"
